generator_id,fuel_type,capacity_mw,min_gen_mw,heat_rate_mmbtu_per_mwh,fuel_cost_per_mmbtu,variable_om_cost,startup_cost,ramp_rate_mw_per_hr,is_renewable,min_up_time,min_down_time
CCGT_12,Gas,1096,328,7.0,3.0,3,15000,300,0,6,4
CCGT_13,Gas,894,268,7.0,3.0,3,15000,300,0,6,4
CCGT_14,Gas,1016,304,7.0,3.0,3,15000,300,0,6,4
CCGT_15,Gas,913,273,7.0,3.0,3,15000,300,0,6,4
CCGT_16,Gas,1076,322,7.0,3.0,3,15000,300,0,6,4
CCGT_17,Gas,1124,337,7.0,3.0,3,15000,300,0,6,4
CCGT_18,Gas,1134,340,7.0,3.0,3,15000,300,0,6,4
CCGT_19,Gas,1158,347,7.0,3.0,3,15000,300,0,6,4
CCGT_20,Gas,1071,321,7.0,3.0,3,15000,300,0,6,4
CCGT_21,Gas,922,276,7.0,3.0,3,15000,300,0,6,4
CCGT_22,Gas,867,260,7.0,3.0,3,15000,300,0,6,4
CCGT_23,Gas,1059,317,7.0,3.0,3,15000,300,0,6,4
CCGT_24,Gas,828,248,7.0,3.0,3,15000,300,0,6,4
CCGT_25,Gas,920,276,7.0,3.0,3,15000,300,0,6,4
CT_1,Gas,269,13,10.0,3.5,6,5000,600,0,1,1
CT_2,Gas,368,18,10.0,3.5,6,5000,600,0,1,1
CT_3,Gas,371,18,10.0,3.5,6,5000,600,0,1,1
CT_4,Gas,289,14,10.0,3.5,6,5000,600,0,1,1
CT_5,Gas,282,14,10.0,3.5,6,5000,600,0,1,1
CT_6,Gas,287,14,10.0,3.5,6,5000,600,0,1,1
CT_7,Gas,372,18,10.0,3.5,6,5000,600,0,1,1
CT_8,Gas,313,15,10.0,3.5,6,5000,600,0,1,1
CT_9,Gas,307,15,10.0,3.5,6,5000,600,0,1,1
CT_10,Gas,276,13,10.0,3.5,6,5000,600,0,1,1
CT_11,Gas,227,11,10.0,3.5,6,5000,600,0,1,1
CT_12,Gas,245,12,10.0,3.5,6,5000,600,0,1,1
CT_13,Gas,387,19,10.0,3.5,6,5000,600,0,1,1
CT_14,Gas,275,13,10.0,3.5,6,5000,600,0,1,1
CT_15,Gas,368,18,10.0,3.5,6,5000,600,0,1,1
CT_16,Gas,333,16,10.0,3.5,6,5000,600,0,1,1
CT_17,Gas,286,14,10.0,3.5,6,5000,600,0,1,1
CT_18,Gas,223,11,10.0,3.5,6,5000,600,0,1,1
CT_19,Gas,343,17,10.0,3.5,6,5000,600,0,1,1
CT_20,Gas,290,14,10.0,3.5,6,5000,600,0,1,1
CT_21,Gas,295,14,10.0,3.5,6,5000,600,0,1,1
CT_22,Gas,348,17,10.0,3.5,6,5000,600,0,1,1
CT_23,Gas,289,14,10.0,3.5,6,5000,600,0,1,1
CT_24,Gas,244,12,10.0,3.5,6,5000,600,0,1,1
CT_25,Gas,312,15,10.0,3.5,6,5000,600,0,1,1
CT_26,Gas,249,12,10.0,3.5,6,5000,600,0,1,1
CT_27,Gas,239,11,10.0,3.5,6,5000,600,0,1,1
CT_28,Gas,300,15,10.0,3.5,6,5000,600,0,1,1
CT_29,Gas,205,10,10.0,3.5,6,5000,600,0,1,1
CT_30,Gas,388,19,10.0,3.5,6,5000,600,0,1,1
CT_31,Gas,380,19,10.0,3.5,6,5000,600,0,1,1
CT_32,Gas,297,14,10.0,3.5,6,5000,600,0,1,1
CT_33,Gas,230,11,10.0,3.5,6,5000,600,0,1,1
CT_34,Gas,200,10,10.0,3.5,6,5000,600,0,1,1
CT_35,Gas,224,11,10.0,3.5,6,5000,600,0,1,1
CT_36,Gas,300,15,10.0,3.5,6,5000,600,0,1,1
CT_37,Gas,216,10,10.0,3.5,6,5000,600,0,1,1
CT_38,Gas,303,15,10.0,3.5,6,5000,600,0,1,1
CT_39,Gas,388,19,10.0,3.5,6,5000,600,0,1,1
CT_40,Gas,277,13,10.0,3.5,6,5000,600,0,1,1
Wind_1,Wind,261,0,0.0,0.0,0,0,1000,1,0,0
Wind_2,Wind,227,0,0.0,0.0,0,0,1000,1,0,0
Wind_3,Wind,405,0,0.0,0.0,0,0,1000,1,0,0
Wind_4,Wind,438,0,0.0,0.0,0,0,1000,1,0,0
Wind_5,Wind,283,0,0.0,0.0,0,0,1000,1,0,0
Wind_6,Wind,424,0,0.0,0.0,0,0,1000,1,0,0
Wind_7,Wind,237,0,0.0,0.0,0,0,1000,1,0,0
Wind_8,Wind,327,0,0.0,0.0,0,0,1000,1,0,0
Wind_9,Wind,245,0,0.0,0.0,0,0,1000,1,0,0
Wind_10,Wind,457,0,0.0,0.0,0,0,1000,1,0,0
Wind_11,Wind,443,0,0.0,0.0,0,0,1000,1,0,0
Wind_12,Wind,325,0,0.0,0.0,0,0,1000,1,0,0
Wind_13,Wind,299,0,0.0,0.0,0,0,1000,1,0,0
Wind_14,Wind,436,0,0.0,0.0,0,0,1000,1,0,0
Wind_15,Wind,395,0,0.0,0.0,0,0,1000,1,0,0
Wind_16,Wind,442,0,0.0,0.0,0,0,1000,1,0,0
Wind_17,Wind,470,0,0.0,0.0,0,0,1000,1,0,0
Wind_18,Wind,428,0,0.0,0.0,0,0,1000,1,0,0
Wind_19,Wind,484,0,0.0,0.0,0,0,1000,1,0,0
Wind_20,Wind,310,0,0.0,0.0,0,0,1000,1,0,0
Wind_21,Wind,288,0,0.0,0.0,0,0,1000,1,0,0
Wind_22,Wind,244,0,0.0,0.0,0,0,1000,1,0,0
Wind_23,Wind,263,0,0.0,0.0,0,0,1000,1,0,0
Wind_24,Wind,301,0,0.0,0.0,0,0,1000,1,0,0
Wind_25,Wind,394,0,0.0,0.0,0,0,1000,1,0,0
Wind_26,Wind,300,0,0.0,0.0,0,0,1000,1,0,0
Wind_27,Wind,284,0,0.0,0.0,0,0,1000,1,0,0
Wind_28,Wind,331,0,0.0,0.0,0,0,1000,1,0,0
Wind_29,Wind,215,0,0.0,0.0,0,0,1000,1,0,0
Wind_30,Wind,275,0,0.0,0.0,0,0,1000,1,0,0
Wind_31,Wind,388,0,0.0,0.0,0,0,1000,1,0,0
Wind_32,Wind,394,0,0.0,0.0,0,0,1000,1,0,0
Wind_33,Wind,270,0,0.0,0.0,0,0,1000,1,0,0
Wind_34,Wind,442,0,0.0,0.0,0,0,1000,1,0,0
Wind_35,Wind,449,0,0.0,0.0,0,0,1000,1,0,0
Wind_36,Wind,316,0,0.0,0.0,0,0,1000,1,0,0
Wind_37,Wind,442,0,0.0,0.0,0,0,1000,1,0,0
Wind_38,Wind,236,0,0.0,0.0,0,0,1000,1,0,0
Wind_39,Wind,256,0,0.0,0.0,0,0,1000,1,0,0
Wind_40,Wind,260,0,0.0,0.0,0,0,1000,1,0,0
Wind_41,Wind,290,0,0.0,0.0,0,0,1000,1,0,0
Wind_42,Wind,471,0,0.0,0.0,0,0,1000,1,0,0
Wind_43,Wind,366,0,0.0,0.0,0,0,1000,1,0,0
Wind_44,Wind,230,0,0.0,0.0,0,0,1000,1,0,0
Wind_45,Wind,374,0,0.0,0.0,0,0,1000,1,0,0
Wind_46,Wind,200,0,0.0,0.0,0,0,1000,1,0,0
Wind_47,Wind,203,0,0.0,0.0,0,0,1000,1,0,0
Wind_48,Wind,492,0,0.0,0.0,0,0,1000,1,0,0
Wind_49,Wind,309,0,0.0,0.0,0,0,1000,1,0,0
Wind_50,Wind,210,0,0.0,0.0,0,0,1000,1,0,0
Solar_1,Solar,212,0,0.0,0.0,0,0,1000,1,0,0
Solar_2,Solar,160,0,0.0,0.0,0,0,1000,1,0,0
Solar_3,Solar,106,0,0.0,0.0,0,0,1000,1,0,0
Solar_4,Solar,128,0,0.0,0.0,0,0,1000,1,0,0
Solar_5,Solar,204,0,0.0,0.0,0,0,1000,1,0,0
Solar_6,Solar,248,0,0.0,0.0,0,0,1000,1,0,0
Solar_7,Solar,218,0,0.0,0.0,0,0,1000,1,0,0
Solar_8,Solar,219,0,0.0,0.0,0,0,1000,1,0,0
Solar_9,Solar,208,0,0.0,0.0,0,0,1000,1,0,0
Solar_10,Solar,239,0,0.0,0.0,0,0,1000,1,0,0
Solar_11,Solar,248,0,0.0,0.0,0,0,1000,1,0,0
Solar_12,Solar,113,0,0.0,0.0,0,0,1000,1,0,0
Solar_13,Solar,286,0,0.0,0.0,0,0,1000,1,0,0
Solar_14,Solar,167,0,0.0,0.0,0,0,1000,1,0,0
Solar_15,Solar,261,0,0.0,0.0,0,0,1000,1,0,0
Solar_16,Solar,222,0,0.0,0.0,0,0,1000,1,0,0
Solar_17,Solar,149,0,0.0,0.0,0,0,1000,1,0,0
Solar_18,Solar,143,0,0.0,0.0,0,0,1000,1,0,0
Solar_19,Solar,259,0,0.0,0.0,0,0,1000,1,0,0
Solar_20,Solar,168,0,0.0,0.0,0,0,1000,1,0,0
Solar_21,Solar,161,0,0.0,0.0,0,0,1000,1,0,0
Solar_22,Solar,238,0,0.0,0.0,0,0,1000,1,0,0
Solar_23,Solar,234,0,0.0,0.0,0,0,1000,1,0,0
Solar_24,Solar,133,0,0.0,0.0,0,0,1000,1,0,0
Solar_25,Solar,190,0,0.0,0.0,0,0,1000,1,0,0
Solar_26,Solar,210,0,0.0,0.0,0,0,1000,1,0,0
Solar_27,Solar,191,0,0.0,0.0,0,0,1000,1,0,0
Solar_28,Solar,214,0,0.0,0.0,0,0,1000,1,0,0
Solar_29,Solar,105,0,0.0,0.0,0,0,1000,1,0,0
Solar_30,Solar,109,0,0.0,0.0,0,0,1000,1,0,0
Solar_31,Solar,218,0,0.0,0.0,0,0,1000,1,0,0
Solar_32,Solar,218,0,0.0,0.0,0,0,1000,1,0,0
Solar_33,Solar,141,0,0.0,0.0,0,0,1000,1,0,0
Solar_34,Solar,198,0,0.0,0.0,0,0,1000,1,0,0
Solar_35,Solar,275,0,0.0,0.0,0,0,1000,1,0,0
Solar_36,Solar,289,0,0.0,0.0,0,0,1000,1,0,0
Solar_37,Solar,214,0,0.0,0.0,0,0,1000,1,0,0
Solar_38,Solar,201,0,0.0,0.0,0,0,1000,1,0,0
Solar_39,Solar,183,0,0.0,0.0,0,0,1000,1,0,0
Solar_40,Solar,148,0,0.0,0.0,0,0,1000,1,0,0
